Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit (FAO),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TCL","Cultures et produits animaux","4","Algérie","5910","Exportations - Quantité","567","Pastèques","2019","2019","tonnes","97","R","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","79","Allemagne","5910","Exportations - Quantité","574","Ananas","2017","2017","tonnes","15756","","Donnée officielle"
"TCL","Cultures et produits animaux","79","Allemagne","5910","Exportations - Quantité","574","Ananas","2018","2018","tonnes","20814","","Donnée officielle"
"TCL","Cultures et produits animaux","79","Allemagne","5910","Exportations - Quantité","574","Ananas","2019","2019","tonnes","18025","","Donnée officielle"
"TCL","Cultures et produits animaux","79","Allemagne","5910","Exportations - Quantité","486","Bananes","2017","2017","tonnes","343160","","Donnée officielle"
"TCL","Cultures et produits animaux","79","Allemagne","5910","Exportations - Quantité","486","Bananes","2018","2018","tonnes","247437","","Donnée officielle"
"TCL","Cultures et produits animaux","79","Allemagne","5910","Exportations - Quantité","486","Bananes","2019","2019","tonnes","283538","","Donnée officielle"
"TCL","Cultures et produits animaux","79","Allemagne","5910","Exportations - Quantité","569","Figues","2017","2017","tonnes","1241","","Donnée officielle"
"TCL","Cultures et produits animaux","79","Allemagne","5910","Exportations - Quantité","569","Figues","2018","2018","tonnes","1510","","Donnée officielle"
"TCL","Cultures et produits animaux","79","Allemagne","5910","Exportations - Quantité","569","Figues","2019","2019","tonnes","1173","","Donnée officielle"
"TCL","Cultures et produits animaux","79","Allemagne","5910","Exportations - Quantité","592","Kiwis","2017","2017","tonnes","9106","","Donnée officielle"
"TCL","Cultures et produits animaux","79","Allemagne","5910","Exportations - Quantité","592","Kiwis","2018","2018","tonnes","7387","","Donnée officielle"
"TCL","Cultures et produits animaux","79","Allemagne","5910","Exportations - Quantité","592","Kiwis","2019","2019","tonnes","5096","","Donnée officielle"
"TCL","Cultures et produits animaux","79","Allemagne","5910","Exportations - Quantité","571","Mangues, mangoustans et goyaves","2017","2017","tonnes","11728","","Donnée officielle"
"TCL","Cultures et produits animaux","79","Allemagne","5910","Exportations - Quantité","571","Mangues, mangoustans et goyaves","2018","2018","tonnes","12498","","Donnée officielle"
"TCL","Cultures et produits animaux","79","Allemagne","5910","Exportations - Quantité","571","Mangues, mangoustans et goyaves","2019","2019","tonnes","9175","","Donnée officielle"
"TCL","Cultures et produits animaux","79","Allemagne","5910","Exportations - Quantité","568","Melons, cantaloups","2017","2017","tonnes","7370","","Donnée officielle"
"TCL","Cultures et produits animaux","79","Allemagne","5910","Exportations - Quantité","568","Melons, cantaloups","2018","2018","tonnes","7233","","Donnée officielle"
"TCL","Cultures et produits animaux","79","Allemagne","5910","Exportations - Quantité","568","Melons, cantaloups","2019","2019","tonnes","4977","","Donnée officielle"
"TCL","Cultures et produits animaux","79","Allemagne","5910","Exportations - Quantité","600","Papayes","2017","2017","tonnes","1304","","Donnée officielle"
"TCL","Cultures et produits animaux","79","Allemagne","5910","Exportations - Quantité","600","Papayes","2018","2018","tonnes","1852","","Donnée officielle"
"TCL","Cultures et produits animaux","79","Allemagne","5910","Exportations - Quantité","600","Papayes","2019","2019","tonnes","2126","","Donnée officielle"
"TCL","Cultures et produits animaux","79","Allemagne","5910","Exportations - Quantité","567","Pastèques","2017","2017","tonnes","19559","","Donnée officielle"
"TCL","Cultures et produits animaux","79","Allemagne","5910","Exportations - Quantité","567","Pastèques","2018","2018","tonnes","24121","","Donnée officielle"
"TCL","Cultures et produits animaux","79","Allemagne","5910","Exportations - Quantité","567","Pastèques","2019","2019","tonnes","18687","","Donnée officielle"
"TCL","Cultures et produits animaux","7","Angola","5910","Exportations - Quantité","574","Ananas","2017","2017","tonnes","15","R","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","7","Angola","5910","Exportations - Quantité","574","Ananas","2018","2018","tonnes","3","*","Chiffre non officiel"
"TCL","Cultures et produits animaux","7","Angola","5910","Exportations - Quantité","574","Ananas","2019","2019","tonnes","8","","Donnée officielle"
"TCL","Cultures et produits animaux","7","Angola","5910","Exportations - Quantité","486","Bananes","2017","2017","tonnes","485","R","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","7","Angola","5910","Exportations - Quantité","486","Bananes","2018","2018","tonnes","3820","R","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","7","Angola","5910","Exportations - Quantité","486","Bananes","2019","2019","tonnes","5799","","Donnée officielle"
"TCL","Cultures et produits animaux","7","Angola","5910","Exportations - Quantité","569","Figues","2017","2017","tonnes","","","Donnée officielle"
"TCL","Cultures et produits animaux","7","Angola","5910","Exportations - Quantité","592","Kiwis","2017","2017","tonnes","","","Donnée officielle"
"TCL","Cultures et produits animaux","7","Angola","5910","Exportations - Quantité","571","Mangues, mangoustans et goyaves","2017","2017","tonnes","73","R","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","7","Angola","5910","Exportations - Quantité","571","Mangues, mangoustans et goyaves","2018","2018","tonnes","62","R","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","7","Angola","5910","Exportations - Quantité","571","Mangues, mangoustans et goyaves","2019","2019","tonnes","66","","Donnée officielle"
"TCL","Cultures et produits animaux","7","Angola","5910","Exportations - Quantité","568","Melons, cantaloups","2017","2017","tonnes","","","Donnée officielle"
"TCL","Cultures et produits animaux","7","Angola","5910","Exportations - Quantité","568","Melons, cantaloups","2018","2018","tonnes","","","Donnée officielle"
"TCL","Cultures et produits animaux","7","Angola","5910","Exportations - Quantité","600","Papayes","2017","2017","tonnes","0","R","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","7","Angola","5910","Exportations - Quantité","600","Papayes","2018","2018","tonnes","30","R","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","7","Angola","5910","Exportations - Quantité","600","Papayes","2019","2019","tonnes","79","","Donnée officielle"
"TCL","Cultures et produits animaux","7","Angola","5910","Exportations - Quantité","567","Pastèques","2017","2017","tonnes","","","Donnée officielle"
