Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Code Mois,Mois,Unité,Valeur,Symbole,Description du Symbole
"PP","Prix à la Production","16","Bangladesh","5532","Prix à la Production (USD/tonne)","600","Papayes","2017","2017","7021","Valeur annuel","USD","374","","Donnée officielle"
"PP","Prix à la Production","16","Bangladesh","5532","Prix à la Production (USD/tonne)","600","Papayes","2018","2018","7021","Valeur annuel","USD","415","","Donnée officielle"
"PP","Prix à la Production","16","Bangladesh","5532","Prix à la Production (USD/tonne)","600","Papayes","2019","2019","7021","Valeur annuel","USD","524","","Donnée officielle"
"PP","Prix à la Production","14","Barbade","5532","Prix à la Production (USD/tonne)","568","Melons, cantaloups","2017","2017","7021","Valeur annuel","USD","1825","","Donnée officielle"
"PP","Prix à la Production","14","Barbade","5532","Prix à la Production (USD/tonne)","600","Papayes","2017","2017","7021","Valeur annuel","USD","2415","","Donnée officielle"
"PP","Prix à la Production","14","Barbade","5532","Prix à la Production (USD/tonne)","568","Melons, cantaloups","2018","2018","7021","Valeur annuel","USD","1645","","Donnée officielle"
"PP","Prix à la Production","14","Barbade","5532","Prix à la Production (USD/tonne)","600","Papayes","2018","2018","7021","Valeur annuel","USD","2415","","Donnée officielle"
"PP","Prix à la Production","18","Bhoutan","5532","Prix à la Production (USD/tonne)","574","Ananas","2017","2017","7021","Valeur annuel","USD","430","","Donnée officielle"
"PP","Prix à la Production","18","Bhoutan","5532","Prix à la Production (USD/tonne)","486","Bananes","2017","2017","7021","Valeur annuel","USD","537","","Donnée officielle"
"PP","Prix à la Production","80","Bosnie-Herzégovine","5532","Prix à la Production (USD/tonne)","569","Figues","2017","2017","7021","Valeur annuel","USD","2478","","Donnée officielle"
"PP","Prix à la Production","80","Bosnie-Herzégovine","5532","Prix à la Production (USD/tonne)","567","Pastèques","2017","2017","7021","Valeur annuel","USD","180","","Donnée officielle"
"PP","Prix à la Production","80","Bosnie-Herzégovine","5532","Prix à la Production (USD/tonne)","569","Figues","2018","2018","7021","Valeur annuel","USD","1081","","Donnée officielle"
"PP","Prix à la Production","80","Bosnie-Herzégovine","5532","Prix à la Production (USD/tonne)","567","Pastèques","2018","2018","7021","Valeur annuel","USD","173","","Donnée officielle"
